Delivery Date,Delivery Hour,Settlement Point,Settlement Point Price
01/04/2022,23,HB_HOUSTON,25.81
01/04/2022,23,HB_NORTH,25.84
01/04/2022,23,HB_SOUTH,25
01/04/2022,23,HB_WEST,25.89
01/04/2022,24,HB_HOUSTON,24.29
01/04/2022,24,HB_NORTH,24.38
01/04/2022,24,HB_SOUTH,23.27
01/04/2022,24,HB_WEST,24.44
01/05/2022,1,HB_HOUSTON,22.97
01/05/2022,1,HB_NORTH,23.23
01/05/2022,1,HB_SOUTH,21.09
01/05/2022,1,HB_WEST,23.32
01/05/2022,2,HB_HOUSTON,22.08
01/05/2022,2,HB_NORTH,22.23
01/05/2022,2,HB_SOUTH,20.62
01/05/2022,2,HB_WEST,22.3
01/05/2022,3,HB_HOUSTON,22.18
01/05/2022,3,HB_NORTH,22.29
01/05/2022,3,HB_SOUTH,21.13
01/05/2022,3,HB_WEST,22.34
01/05/2022,4,HB_HOUSTON,22.42
01/05/2022,4,HB_NORTH,22.42
01/05/2022,4,HB_SOUTH,21.91
01/05/2022,4,HB_WEST,22.42
01/05/2022,5,HB_HOUSTON,24.6
01/05/2022,5,HB_NORTH,24.59
01/05/2022,5,HB_SOUTH,24.48
01/05/2022,5,HB_WEST,24.59
01/05/2022,6,HB_HOUSTON,29.25
01/05/2022,6,HB_NORTH,29.25
01/05/2022,6,HB_SOUTH,29.25
01/05/2022,6,HB_WEST,29.08
01/05/2022,7,HB_HOUSTON,32.8
01/05/2022,7,HB_NORTH,32.77
01/05/2022,7,HB_SOUTH,32.77
01/05/2022,7,HB_WEST,32.59
01/05/2022,8,HB_HOUSTON,34.68
01/05/2022,8,HB_NORTH,34.66
01/05/2022,8,HB_SOUTH,34.68
01/05/2022,8,HB_WEST,34.43
01/05/2022,9,HB_HOUSTON,27.61
01/05/2022,9,HB_NORTH,27.59
01/05/2022,9,HB_SOUTH,27.57
01/05/2022,9,HB_WEST,27.57
01/05/2022,10,HB_HOUSTON,23.92
01/05/2022,10,HB_NORTH,23.83
01/05/2022,10,HB_SOUTH,23.91
01/05/2022,10,HB_WEST,23.73
01/05/2022,11,HB_HOUSTON,23.34
01/05/2022,11,HB_NORTH,23.26
01/05/2022,11,HB_SOUTH,23.26
01/05/2022,11,HB_WEST,23.25
01/05/2022,12,HB_HOUSTON,23.62
01/05/2022,12,HB_NORTH,23.55
01/05/2022,12,HB_SOUTH,23.57
01/05/2022,12,HB_WEST,23.55
01/05/2022,13,HB_HOUSTON,23.56
01/05/2022,13,HB_NORTH,23.54
01/05/2022,13,HB_SOUTH,23.61
01/05/2022,13,HB_WEST,23.55
01/05/2022,14,HB_HOUSTON,23.22
01/05/2022,14,HB_NORTH,23.19
01/05/2022,14,HB_SOUTH,23.25
01/05/2022,14,HB_WEST,23.19
01/05/2022,15,HB_HOUSTON,22.89
01/05/2022,15,HB_NORTH,22.86
01/05/2022,15,HB_SOUTH,22.95
01/05/2022,15,HB_WEST,22.87
01/05/2022,16,HB_HOUSTON,22.66
01/05/2022,16,HB_NORTH,22.6
01/05/2022,16,HB_SOUTH,22.69
01/05/2022,16,HB_WEST,22.61
01/05/2022,17,HB_HOUSTON,24.95
01/05/2022,17,HB_NORTH,24.83
01/05/2022,17,HB_SOUTH,24.72
01/05/2022,17,HB_WEST,24.8
01/05/2022,18,HB_HOUSTON,60.12
01/05/2022,18,HB_NORTH,60.02
01/05/2022,18,HB_SOUTH,59.98
01/05/2022,18,HB_WEST,60.08
01/05/2022,19,HB_HOUSTON,47.21
01/05/2022,19,HB_NORTH,47.07
01/05/2022,19,HB_SOUTH,46.99
01/05/2022,19,HB_WEST,47.19
01/05/2022,20,HB_HOUSTON,34.39
01/05/2022,20,HB_NORTH,34.21
01/05/2022,20,HB_SOUTH,34.29
01/05/2022,20,HB_WEST,34.47
01/05/2022,21,HB_HOUSTON,31.17
01/05/2022,21,HB_NORTH,31.01
01/05/2022,21,HB_SOUTH,31.13
01/05/2022,21,HB_WEST,31.26
01/05/2022,22,HB_HOUSTON,25.28
01/05/2022,22,HB_NORTH,25.08
01/05/2022,22,HB_SOUTH,25.04
01/05/2022,22,HB_WEST,25.36
01/05/2022,23,HB_HOUSTON,26.87
01/05/2022,23,HB_NORTH,26.72
01/05/2022,23,HB_SOUTH,26.69
01/05/2022,23,HB_WEST,27.02
01/05/2022,24,HB_HOUSTON,25.07
01/05/2022,24,HB_NORTH,24.98
01/05/2022,24,HB_SOUTH,25.12
01/05/2022,24,HB_WEST,25.22
01/06/2022,1,HB_HOUSTON,25.12
01/06/2022,1,HB_NORTH,25.08
01/06/2022,1,HB_SOUTH,25.05
01/06/2022,1,HB_WEST,25.06
01/06/2022,2,HB_HOUSTON,23.17
01/06/2022,2,HB_NORTH,23.11
01/06/2022,2,HB_SOUTH,23.11
01/06/2022,2,HB_WEST,22.78
01/06/2022,3,HB_HOUSTON,23.07
01/06/2022,3,HB_NORTH,23
01/06/2022,3,HB_SOUTH,22.84
01/06/2022,3,HB_WEST,21.75
01/06/2022,4,HB_HOUSTON,22.12
01/06/2022,4,HB_NORTH,22
01/06/2022,4,HB_SOUTH,21.96
01/06/2022,4,HB_WEST,19.96
01/06/2022,5,HB_HOUSTON,23.19
01/06/2022,5,HB_NORTH,23.2
01/06/2022,5,HB_SOUTH,23.28
01/06/2022,5,HB_WEST,19.07
01/06/2022,6,HB_HOUSTON,24.92
01/06/2022,6,HB_NORTH,24.64
01/06/2022,6,HB_SOUTH,24.77
01/06/2022,6,HB_WEST,20.98
01/06/2022,7,HB_HOUSTON,28.1
01/06/2022,7,HB_NORTH,27.72
01/06/2022,7,HB_SOUTH,28.03
01/06/2022,7,HB_WEST,21.97
01/06/2022,8,HB_HOUSTON,28.58
01/06/2022,8,HB_NORTH,27.71
01/06/2022,8,HB_SOUTH,28.16
01/06/2022,8,HB_WEST,17.96
01/06/2022,9,HB_HOUSTON,25.88
01/06/2022,9,HB_NORTH,23.16
01/06/2022,9,HB_SOUTH,26.08
01/06/2022,9,HB_WEST,5.01
01/06/2022,10,HB_HOUSTON,24.05
01/06/2022,10,HB_NORTH,21.16
01/06/2022,10,HB_SOUTH,24.24
01/06/2022,10,HB_WEST,-0.28
01/06/2022,11,HB_HOUSTON,24.07
01/06/2022,11,HB_NORTH,21.11
01/06/2022,11,HB_SOUTH,23.29
01/06/2022,11,HB_WEST,0.01
01/06/2022,12,HB_HOUSTON,24.43
01/06/2022,12,HB_NORTH,21.24
01/06/2022,12,HB_SOUTH,24.05
01/06/2022,12,HB_WEST,6.85
01/06/2022,13,HB_HOUSTON,24.43
01/06/2022,13,HB_NORTH,22.35
01/06/2022,13,HB_SOUTH,24.38
01/06/2022,13,HB_WEST,18.49
01/06/2022,14,HB_HOUSTON,25.41
01/06/2022,14,HB_NORTH,25.04
01/06/2022,14,HB_SOUTH,25.37
01/06/2022,14,HB_WEST,24.02
01/06/2022,15,HB_HOUSTON,25.09
01/06/2022,15,HB_NORTH,24.9
01/06/2022,15,HB_SOUTH,24.98
01/06/2022,15,HB_WEST,24.55
01/06/2022,16,HB_HOUSTON,25.62
01/06/2022,16,HB_NORTH,25.57
01/06/2022,16,HB_SOUTH,25.55
01/06/2022,16,HB_WEST,25.56
01/06/2022,17,HB_HOUSTON,28.98
01/06/2022,17,HB_NORTH,28.82
01/06/2022,17,HB_SOUTH,28.48
01/06/2022,17,HB_WEST,28.73
01/06/2022,18,HB_HOUSTON,61.36
01/06/2022,18,HB_NORTH,62.93
01/06/2022,18,HB_SOUTH,58.72
01/06/2022,18,HB_WEST,62.45
01/06/2022,19,HB_HOUSTON,54.7
01/06/2022,19,HB_NORTH,56.55
01/06/2022,19,HB_SOUTH,49.98
01/06/2022,19,HB_WEST,56.21
01/06/2022,20,HB_HOUSTON,46.49
01/06/2022,20,HB_NORTH,48.47
01/06/2022,20,HB_SOUTH,42.18
01/06/2022,20,HB_WEST,48.16
01/06/2022,21,HB_HOUSTON,43.29
01/06/2022,21,HB_NORTH,44.26
01/06/2022,21,HB_SOUTH,38.88
01/06/2022,21,HB_WEST,44.41
01/06/2022,22,HB_HOUSTON,31.1
