Delivery Date,Delivery Hour,Delivery Interval,Settlement Point,Settlement Point Price
01/01/2022,22,3,HB_WEST,-3.89
01/01/2022,22,4,HB_WEST,-1.89
01/01/2022,23,1,HB_HOUSTON,21.63
01/01/2022,23,2,HB_HOUSTON,20.18
01/01/2022,23,3,HB_HOUSTON,20.23
01/01/2022,23,4,HB_HOUSTON,18.88
01/01/2022,23,1,HB_NORTH,21.65
01/01/2022,23,2,HB_NORTH,20.2
01/01/2022,23,3,HB_NORTH,20.25
01/01/2022,23,4,HB_NORTH,18.11
01/01/2022,23,1,HB_SOUTH,21.36
01/01/2022,23,2,HB_SOUTH,19.93
01/01/2022,23,3,HB_SOUTH,19.98
01/01/2022,23,4,HB_SOUTH,19.47
01/01/2022,23,1,HB_WEST,-1.86
01/01/2022,23,2,HB_WEST,-1.46
01/01/2022,23,3,HB_WEST,-1.1
01/01/2022,23,4,HB_WEST,-0.65
01/01/2022,24,1,HB_HOUSTON,18.77
01/01/2022,24,2,HB_HOUSTON,17.92
01/01/2022,24,3,HB_HOUSTON,16.57
01/01/2022,24,4,HB_HOUSTON,16.49
01/01/2022,24,1,HB_NORTH,18.51
01/01/2022,24,2,HB_NORTH,17.93
01/01/2022,24,3,HB_NORTH,16.58
01/01/2022,24,4,HB_NORTH,16.49
01/01/2022,24,1,HB_SOUTH,18.84
01/01/2022,24,2,HB_SOUTH,17.72
01/01/2022,24,3,HB_SOUTH,16.4
01/01/2022,24,4,HB_SOUTH,16.49
01/01/2022,24,1,HB_WEST,0.05
01/01/2022,24,2,HB_WEST,0.86
01/01/2022,24,3,HB_WEST,1.89
01/01/2022,24,4,HB_WEST,16.32
01/02/2022,1,1,HB_HOUSTON,12.39
01/02/2022,1,2,HB_HOUSTON,1.87
01/02/2022,1,3,HB_HOUSTON,11.6
01/02/2022,1,4,HB_HOUSTON,1.67
01/02/2022,1,1,HB_NORTH,12.39
01/02/2022,1,2,HB_NORTH,1.87
01/02/2022,1,3,HB_NORTH,11.6
01/02/2022,1,4,HB_NORTH,1.67
